battery_id,cycle_number,timestamp,avg_voltage,max_voltage,min_voltage,avg_current_charge,avg_current_discharge,avg_temperature,max_temperature,min_temperature,capacity_charge,capacity_discharge,internal_resistance,charge_time_h,discharge_time_h,charge_energy_wh,discharge_energy_wh,coulombic_efficiency,health_score,is_anomaly,anomaly_type
BAT-001,1,2023-01-01T04:00:00,3.472,3.9742,2.85,1.3641,-1.4252,26.334,33.968,22.403,3.02893,2.98833,87.914,2.3835,2.0849,10.5163,10.3754,98.66,99.61,False,
BAT-001,2,2023-01-01T09:18:33,3.576,3.9969,2.85,1.7466,-1.5892,24.502,29.835,22.37,3.0138,2.99691,88.142,1.6792,1.9203,10.7775,10.717,99.439,99.9,False,
BAT-001,3,2023-01-01T14:31:33,3.5617,3.9377,2.9166,1.4135,-1.5349,26.16,33.323,22.059,3.0129,2.98822,84.248,2.1249,2.0115,10.7311,10.6433,99.181,99.61,False,
BAT-001,4,2023-01-01T20:22:10,3.4999,3.8513,2.85,1.6324,-1.5526,24.58,29.875,20.874,3.01361,2.99004,88.77,1.7925,1.8516,10.5473,10.4648,99.218,99.67,False,
BAT-001,5,2023-01-02T01:30:58,3.5843,4.0461,2.9735,1.3154,-1.4184,26.362,31.405,21.802,3.02648,2.99458,86.044,2.2665,2.018,10.8477,10.7333,98.946,99.82,False,
BAT-001,6,2023-01-02T06:43:22,3.6095,4.0407,2.8967,1.3835,-1.2114,24.517,31.129,21.132,3.02046,2.98576,86.089,2.1269,2.4651,10.9022,10.777,98.851,99.53,False,
BAT-001,7,2023-01-02T12:02:35,3.5207,3.9431,2.9532,1.359,-1.6809,25.705,32.203,22.907,3.0143,2.98604,87.175,2.4296,1.8259,10.6124,10.5129,99.063,99.53,False,
BAT-001,8,2023-01-02T17:52:26,3.6311,4.0215,3.0199,1.5896,-1.2884,22.951,29.744,18.793,2.99585,2.9729,85.302,1.9126,2.3368,10.8782,10.7948,99.234,99.1,False,
BAT-001,9,2023-01-02T23:29:58,3.4892,3.9052,2.9103,1.3517,-1.4938,24.175,31.801,20.432,2.99378,2.97638,88.372,2.2193,2.0106,10.4458,10.3851,99.419,99.21,False,
BAT-001,10,2023-01-03T04:15:49,3.5029,3.9511,2.85,1.5859,-1.4367,25.552,30.209,21.99,2.99362,2.9645,88.948,1.9176,1.9646,10.4864,10.3844,99.027,98.82,False,
BAT-001,11,2023-01-03T09:53:07,3.4827,3.8889,2.85,1.6635,-1.5843,26.639,34.219,23.948,2.99457,2.97552,85.81,1.7203,1.8884,10.4291,10.3628,99.364,99.18,False,
BAT-001,12,2023-01-03T14:33:01,3.6347,4.0877,3.0335,1.768,-1.2823,24.498,29.673,19.52,3.00451,2.96571,86.371,1.8417,2.3703,10.9205,10.7795,98.709,98.86,False,
BAT-001,13,2023-01-03T20:35:55,3.5971,4.0219,3.0282,1.6734,-1.3312,23.358,27.563,20.99,2.99964,2.96938,92.118,1.9264,2.1532,10.7901,10.6813,98.991,98.98,False,
BAT-001,14,2023-01-04T01:26:49,3.5295,4.0738,2.8793,1.3719,-1.207,27.321,30.98,23.288,3.02106,2.9801,92.586,2.1322,2.4706,10.6627,10.5181,98.644,99.34,False,
BAT-001,15,2023-01-04T07:35:28,3.5786,3.9548,3.0038,1.7638,-1.3988,24.733,30.176,20.745,2.97744,2.95675,88.454,1.8457,2.0686,10.655,10.581,99.305,98.56,False,
BAT-001,16,2023-01-04T13:23:34,3.488,3.9218,2.85,1.598,-1.6665,24.809,30.146,20.455,2.99408,2.96282,89.943,1.7849,1.7084,10.4433,10.3342,98.956,98.76,False,
BAT-001,17,2023-01-04T18:37:49,3.5683,3.9931,2.9331,1.626,-1.6337,23.054,27.294,20.344,2.97917,2.9575,89.304,1.9457,1.8676,10.6305,10.5532,99.273,98.58,False,
BAT-001,18,2023-01-04T23:06:05,3.6,3.9788,2.8659,1.3828,-1.3424,25.069,28.647,23.006,2.98381,2.95151,90.771,2.0679,2.1272,10.7419,10.6256,98.917,98.38,False,
BAT-001,19,2023-01-05T03:52:35,3.5249,4.0499,2.85,1.3217,-1.2907,29.506,33.753,25.792,2.99779,2.96281,90.51,2.2963,2.192,10.5669,10.4436,98.833,98.76,False,
BAT-001,20,2023-01-05T09:25:31,3.4822,3.8521,2.85,1.7513,-1.6898,24.593,31.49,20.665,2.97711,2.9593,93.3,1.8136,1.6873,10.367,10.305,99.402,98.64,False,
BAT-001,21,2023-01-05T14:13:48,3.5377,3.941,2.9598,1.5389,-1.4084,27.906,32.744,24.807,2.99676,2.95662,84.104,1.9456,2.0739,10.6017,10.4597,98.661,98.55,False,
BAT-001,22,2023-01-05T19:46:42,3.5642,4.0212,2.85,1.6263,-1.6022,24.885,31.05,22.021,2.99368,2.95093,92.173,1.9517,1.787,10.67,10.5176,98.572,98.36,False,
BAT-001,23,2023-01-06T01:03:33,3.6009,4.1381,3.0234,1.7794,-1.6004,27.612,34.525,23.226,2.98317,2.95029,92.787,1.8305,1.798,10.742,10.6237,98.898,98.34,False,
BAT-001,24,2023-01-06T06:04:22,3.5727,4.0159,2.9182,1.682,-1.5996,27.784,33.782,22.991,2.97754,2.94467,89.471,1.7136,1.7704,10.638,10.5205,98.896,98.16,False,
BAT-001,25,2023-01-06T10:11:18,3.5952,4.1249,2.8927,1.4353,-1.3821,25.154,28.942,22.71,2.97834,2.95123,89.864,2.2627,2.1221,10.7077,10.6102,99.09,98.37,False,
